qid	query	label	llm-output
263917	how long is it between periods	f	Female
930094	what's apple voiceover	n	Non-Gendered
213447	how did gary cooper die	m	Male
415178	is jonathan groff	m	Male
999828	where is washington tx	n	Non-Gendered
989548	who is procrustes	n	Male
1002627	when was the child protection law created	n	Non-Gendered
1085751	what continents do moose live	n	Non-Gendered
1097922	how long is the lunar phase cycle	n	Non-Gendered
549697	what actor plays hellboy	m	Male
1069131	what is a polo	n	Non-Gendered
1035464	who is loverboy	m	Male
1091403	president macron how tall	m	Male
415364	is kate hudson pregnant	f	Female
827822	what is the leading cause of death from injury?	n	Non-Gendered
5923	Somnambulatory definition	n	Non-Gendered
1073290	what is a gable hawthorne	n	Non-Gendered
1090053	temperature drop	n	Non-Gendered
1086336	what can nursing home restrict?	n	Non-Gendered
388853	how.old is vanna white	f	Female
1027307	what kind of dog breed does the deaf people use	n	Non-Gendered
1022446	which us president was also chief justice of the supreme court	m	Male
990994	who is danar tools	n	Non-Gendered
1023831	who are growers?	n	Non-Gendered
420975	is pid only caused by stds	n	Non-Gendered
1047815	what is prodi	n	Non-Gendered
1102395	why do cats lay on their back	n	Non-Gendered
1031090	who is carl perkins	m	Male
982490	where is fall church	n	Non-Gendered
841771	what is the puerperium	n	Female
1096031	how much does simba weigh	n	Non-Gendered
280740	how many days after taking penicillin does rash appear	n	Non-Gendered
725825	what is breastfeeding for the baby	f	Female
1091671	phone number for dr. victoria masear	f	Female
1090137	tamera meaning	n	Female
1050820	who sings borderline	n	Female
740024	what is disability discrimination	n	Non-Gendered
330231	how much water should i be drinking per day while pregnant	f	Female
918097	what was colombia's original name?	n	Non-Gendered
792732	what is rubella antibody test	n	Female
211421	how can you tell when a guppy is pregnant	f	Female
774764	what is my ssa retirement age?	n	Non-Gendered
1085001	what did martin luther king do that was important	m	Male
992388	who all died in the shooting	n	Non-Gendered
1003089	when was cosentino's founded?	n	Non-Gendered
995795	which bank loaned donald trump money	m	Male
1051841	what is listless	n	Non-Gendered
686695	what is a hemtt flr	n	Non-Gendered
762433	what is johnny's personality in the outsiders	m	Male
393751	in the movie titanic did they actually throw the blue diamond in the water	n	Non-Gendered
843719	what is the region mk	n	Non-Gendered
1042660	who is vanguard	n	Non-Gendered
1026709	who died in the boston massacre	n	Non-Gendered
858625	what is uas elements	n	Non-Gendered
1037971	who is russ tamblyn	m	Male
883660	what organs are found in the cavity of frogs	n	Non-Gendered
1000266	where do yetis come from	n	Non-Gendered
962266	when was the song beautiful dreamer written/	n	Non-Gendered
1101416	different types of defenses in basketball	n	Non-Gendered
1027303	who does lou williams play for	m	Male
700006	what is a silk press	n	Non-Gendered
591967	what causes spit	n	Non-Gendered
1094593	"""in humans,  how many chromosomes are in each diploid cell?"""	n	Non-Gendered
620566	what did walmart have to do with tracy morgan's accident	m	Female
1094662	if someone is choking on food what to do	n	Non-Gendered
215855	how did willie hutch died	m	Male
992249	who broke the color barrier in soccer	n	Non-Gendered
1033120	who is george m cohan	m	Male
989221	who is sasha williams	f	Non-Gendered
481518	pride month is about	n	Non-Gendered
424735	is steve stone in the hall of fame	m	Male
401063	is a supervisor considered a manager	n	Non-Gendered
1094349	ayizan veve meaning	n	Female
631846	what does an empty corny keg weigh	n	Non-Gendered
998459	where is mousie kentucky	n	Non-Gendered
978106	where is bharananganam	n	Non-Gendered
644565	what does obstetrics mean	n	Female
78540	can you lose weight eating a lot of carbs bodybuilding	n	Non-Gendered
1062991	why did people powder their wigs	n	Non-Gendered
1095242	how old is daniel craig?	m	Male
334257	how old is alicia keys?	f	Female
588579	what causes heavy bleeding during period	f	Female
988058	who played lou ann poovie	f	Female
665501	what happens after radical prostatectomy	n	Male
1054951	what is friend zone limerence	n	Non-Gendered
339030	how soon after a dog bite does	n	Non-Gendered
590220	what causes newborns to be tongue tied	n	Non-Gendered
976536	where is albany oregon	n	Non-Gendered
1047914	what is preterm labor and what are the risks	f	Female
1101301	do any states ban kratom	n	Non-Gendered
581950	what can i eat after throwing up	n	Non-Gendered
335501	how old is kareem jabbar	m	Male
1062220	what is anonychia on feet	n	Non-Gendered
1034023	who is james merrills	m	Male
1098622	how long can someone go without food and water	n	Non-Gendered
1058513	what is class dojo used for	n	Non-Gendered
985629	who were the characters in the series prison break	n	Non-Gendered
117175	define acquitted	n	Non-Gendered
1101482	difference between picket and protest	n	Non-Gendered
961690	when was the letter in birmingham jail wrote?	n	Non-Gendered
936395	when can i see my baby move	f	Female
329233	how much to open a renter's insurance	n	Non-Gendered
936007	when are you supposed to hit puberty	n	Non-Gendered
1053229	who was albert ellis	m	Male
1009639	which fish retains the most mercury	n	Non-Gendered
927767	what year was football invented	n	Non-Gendered
960365	when was the book i know why the caged bird sings published	n	Female
1093116	meaning of aaron the name	m	Male
619808	what did the ADA laws do?	n	Non-Gendered
991880	who died when they fell off mount hood	n	Non-Gendered
334396	how old is benjamin orr	m	Male
1022897	which was part of the columbian exchange	n	Non-Gendered
893430	what shelf should i use to bake beans	n	Non-Gendered
1015363	what type of government did simon bolivar push for	m	Male
1095113	how old was billy walker	m	Male
327522	how much should i pay for home daycare	n	Non-Gendered
997289	definition nondisjunction	n	Non-Gendered
434522	king louis xiv definition	m	Male
578070	what awards has janet jackson won	f	Female
918841	what was miss kitty role in gunsmoke	f	Female
162788	does alcohol cause skin rashes	n	Non-Gendered
783250	what is pfy	n	Non-Gendered
1082931	what does steve for	m	Male
945255	when do you know you need computer glasses	n	Non-Gendered
745709	what is exile?	n	Non-Gendered
715610	what is an internal cache	n	Non-Gendered
868377	what kind of food to feed a teething puppy	n	Non-Gendered
1094455	incumbency definition	n	Non-Gendered
1102165	why india name given	n	Non-Gendered
1028680	what is what is brandy	n	Female
1082362	what does ymca song stand for	n	Non-Gendered
1034702	who is kabuki	n	Non-Gendered
991269	who is attending billy graham funeral	m	Male
923253	what was woodrow wilson's new freedom	m	Male
504638	studio means what	n	Non-Gendered
1007557	when are where was martin luther king jr born	m	Male
989096	who is ted danson's wife	f	Female
1012635	what was one significant accomplishment of president ronald reagan?	m	Male
198975	has leader of isis been confirmed dead	n	Male
198675	harriet greenfield np	f	Female
900714	what teams did jason taylor play for	m	Male
990404	who is james weldon johnson parents names	m	Male
391529	"""if i have a dependent, how much should i get after tax return"""	n	Non-Gendered
723969	what is bill gates worth	m	Male
1049628	what is normal heart rate resting	n	Non-Gendered
1096035	how much does select volleyball traveling team cost	n	Non-Gendered
1024272	what nationality is the name louise	f	Female
1092568	most admired business person	n	Non-Gendered
556159	what are casts	n	Non-Gendered
1054628	who was johnny fontaine based on	m	Male
556328	what are centromeres	n	Non-Gendered
854656	what is the world's most famous painting?	n	Non-Gendered
989812	who is michael savage?	m	Male
463432	net worth nicholas cage	m	Male
1082235	what episode does sasuke leave the village	n	Non-Gendered
935959	when are vitamins best to take am or pm	n	Non-Gendered
987193	who started spacex	n	Male
1083226	what does positive result for rubella antibody mean	n	Non-Gendered
1042225	cost to repair ceiling after water leak	n	Non-Gendered
1100023	hedjet meaning	n	Non-Gendered
290814	how many oscars has martin scorsese won?ccccccccccccccccccccccccc	m	Male
1098104	how long does pledging last	n	Non-Gendered
1098939	at what gest age can you get a termination of pregnancy	f	Female
1095568	how much peroxide to make dog vomit	n	Non-Gendered
840263	what is the possessive noun for church	n	Non-Gendered
298289	how many times can you run for president	n	Non-Gendered
1084911	what disease did the aztecs get	n	Non-Gendered
802162	what is tame	n	Non-Gendered
257764	how long does it take to normalize sleep cycle	n	Non-Gendered
638050	what does gangam style mean	n	Non-Gendered
1013163	what was albert einstein's iq stat?	m	Male
956720	when was antigone first performed	n	Female
1094683	identity synonym	n	Non-Gendered
1092230	new meaning of finesse	n	Non-Gendered
1082711	what does the name nakayla mean	f	Female
906996	what to do with hot feet at night	n	Non-Gendered
926212	what year did franz joseph haydn die	m	Male
801589	what is symbolic thread drawing	n	Non-Gendered
1097002	how many k in a meg	n	Non-Gendered
52807	biggest ant	n	Non-Gendered
1012723	what was martin luther king jr's achievements	m	Male
548369	were is the the cloro purple was filmed	n	Non-Gendered
1029218	who invented the speakers	n	Non-Gendered
1035503	what is the name of the movie with morgan freeman	m	Male
1087357	what are rh factor	n	Non-Gendered
950306	when is fertilization	n	Non-Gendered
784873	what is poetic justice	n	Non-Gendered
647469	what does sartorial mean	n	Non-Gendered
36001	average diamond ring cost stats	n	Non-Gendered
991351	where is randall's island located	n	Non-Gendered
144735	did oliver cromwell and thomas cromwell were they related	m	Male
21049	are bacon and eggs bad for diet	n	Non-Gendered
959792	when was sharecropping most popular	n	Non-Gendered
78122	can you have a late period after ovulating without being pregnant	f	Female
1042870	who is william tallman	m	Male
87154	causes of labia bleeding	n	Female
23553	are marsupials mammals	n	Non-Gendered
725173	what is bombshell mean	n	Non-Gendered
400905	is a shire horse bigger than a clydesdale	n	Non-Gendered
945036	when do wild rabbits leave the nest	n	Non-Gendered
1005852	when did the war at waterloo begin	n	Non-Gendered
1002721	where was john the gospel writer born	m	Male
333458	how old do you have to be to fly on allegiant alone	n	Non-Gendered
1094408	inflation causes many problems	n	Non-Gendered
1003327	when the rain came song	n	Non-Gendered
795138	what is sent in wedding invitation	n	Non-Gendered
997843	where is silkeborg	n	Non-Gendered
890130	what racist things has trump said	m	Male
1029758	who is al jarreau	m	Male
956621	"""when was alfred,  lord tennyson born"""	m	Male
1058854	who wrote the book the good fight mn senator	n	Male
1038728	who is stephen miller?	m	Male
1034279	who is jessica simpson married to	f	Female
1022986	what part of the cell divides in cytokinesis	n	Non-Gendered
1027583	who established hardyville	n	Non-Gendered
742114	what is e coli in urine culture	n	Non-Gendered
510202	tabitha tv show cast	f	Female
1096559	how many unique words in cat in the hat	n	Non-Gendered
1025736	who created the balfour education act 1902	n	Non-Gendered
1094096	is michael brantley the top left fielder	m	Male
1034124	who is jason?	m	Male
540725	was stalin an anti-semite	m	Male
1098228	how long does it take for sedation to wear off on horses	n	Non-Gendered
800561	what is subdued	n	Non-Gendered
225374	how does america measure unem	n	Non-Gendered
1084816	what do gemini rule	n	Non-Gendered
20801	are almonds good for kidneys	n	Non-Gendered
1013690	which mp3 player should i buy	n	Non-Gendered
1096356	how much did the nra give	n	Non-Gendered
860123	what is vaginal atrophy	f	Female
885438	what parts of the body does rheumatoid arthritis affect	n	Non-Gendered
928349	what year was the first book found?	n	Non-Gendered
727208	what is calsilica?	n	Non-Gendered
859670	what is usain bolt	m	Male
285919	how many hours does a cna work	n	Non-Gendered
990419	who is inspector clouseau	m	Male
279830	how many comedies did shakespeare write	m	Non-Gendered
892640	what score did OBama get on the LSAT?	m	Male
734745	what is coping cats	n	Non-Gendered
411691	is guardian training	n	Non-Gendered
13104	age graded running table univ	n	Non-Gendered
1087897	what age do you stop school	n	Non-Gendered
1096501	how many years did emmitt smith play football	m	Male
901399	what temperature and how long do you cook sausage in the oven	n	Non-Gendered
575014	what are the tubules that produce sperm	m	Male
811153	what is the civilian working-age population	n	Non-Gendered
1050936	what is milk stork	n	Non-Gendered
988846	who is the editor of forbes magazine	n	Non-Gendered
190799	forehead kiss meaning	n	Non-Gendered
991206	who is ben hur's nemesis	m	Male
484954	radical republicans did what to president johnson	m	Male
458630	most popular endangered animals	n	Non-Gendered
619260	what did john maynard keynes think would resolve the great depression	m	Male
938461	when did fidel die	m	Male
729313	what is cervix cancer	f	Female
1094287	irs definition of gross wages	n	Non-Gendered
990181	where is parker colorado	n	Non-Gendered
1041409	who is the president in the us	n	Non-Gendered
1095996	how much does yokozuna weigh	m	Male
852239	what is the uncertainty of the position of the bacterium?	n	Non-Gendered
1002170	when will doctor prescribe clomid	n	Female
411082	is ghost in got alive	n	Non-Gendered
293617	how many portraits did johannes gutenberg paint	m	Male
1002982	where was movie stardust filmed	n	Non-Gendered
55294	bona fides definition	n	Non-Gendered
994153	which justice is over the fifth circuit	n	Non-Gendered
905153	what time is the best time to start potty training?	n	Non-Gendered
1050342	who sang united we stand divided we fall song	n	Non-Gendered
960162	when was the Halmark movie Love under the stars produced	n	Non-Gendered
304049	how much daily physical activity do experts recommend for someone trying to lose weight	n	Non-Gendered
215877	how did ww1 contribute to the great migration	n	Non-Gendered
1094170	is emily an english name	f	Female
484690	quiter population	n	Non-Gendered
294373	how many regions are in ga	n	Non-Gendered
1062941	why did obama get the nobel peace prize	m	Male
1096904	average income for cosmetologist	n	Non-Gendered
1019118	which shark loves fresh water	n	Non-Gendered
973169	where does hair grow the fastest	n	Non-Gendered
1097385	how many cells are produced during meiosis?	n	Non-Gendered
1084594	cast of while you were sleeping	n	Non-Gendered
989716	who is nicholas cruz?	m	Male
854413	what is the womb	f	Female
903304	what the cost to maintain an in ground pool monthly	n	Non-Gendered
1026471	who did kevin mcnally play?	m	Male
243373	how long can you leave puppy in crate	n	Non-Gendered
1096631	how many stripes are on the cat in the hat hat	n	Non-Gendered
888774	what prodigy said about obama	m	Male
812255	what is the contribution of housing authorities	n	Non-Gendered
1036635	who is ny governor now	m	Non-Gendered
825768	what is the importance of the odyssey and the iliad	n	Non-Gendered
10738	act definition noun	n	Non-Gendered
521292	time sleep eat wait	n	Non-Gendered
1050826	who sings break.every chain	n	Non-Gendered
1064913	what is abraham lincoln's date of birth	m	Male
1093784	jail time for vehicle theft	n	Non-Gendered
1086911	what are the oldest dog breeds in the world	n	Non-Gendered
1058729	who wrote soulshine	n	Non-Gendered
1092092	number of people in usa	n	Non-Gendered
559111	what are fraternal twins	n	Male
1000465	where did uss constitution vs hms guerriere happen	n	Non-Gendered
989924	who is marialyn barnard texas court of appeals	f	Female
991037	who is clarice feldman	f	Non-Gendered
990061	who is larry the leprechaun	m	Male
424664	is stealing an illness	n	Non-Gendered
180626	english meaning of les miserables	n	Non-Gendered
791440	what is reversed sentence construction	n	Non-Gendered
1085031	what did dr. charles hufnagel do?	m	Male
1089207	uncle's name in it's a wonderful life	m	Male
219294	how do i start a dog walking business	n	Non-Gendered
1091536	pollination occurs when pollen lands on	n	Non-Gendered
1027062	what kind of fish are in the illinois river	n	Non-Gendered
227909	how does the cheetah run so fast (kids)	n	Non-Gendered
239063	how long after implantaions bleedint to test	n	Female
1002669	where was jensen ackles born	m	Male
1012722	what was matt lauer accused of	m	Male
950739	when is it okay to workout after pregnancy	f	Female
1086209	what causes composition of blood	n	Non-Gendered
637801	what does forbes mean	n	Non-Gendered
116914	define bane	n	Non-Gendered
643014	what does maya angelou's poem alone mean	f	Female
1053823	who was eli whitney	m	Male
992916	where is simi valley california	n	Non-Gendered
986958	who was cab calloway married to	n	Female
951920	when is st. nicholas day	m	Non-Gendered
122441	define humiliate	n	Non-Gendered
439215	length of average necklace	n	Non-Gendered
1079430	what happened to steve edwards	m	Male
997327	where is the ravenwood smith	n	Non-Gendered
996577	where the steel come from	n	Non-Gendered
1076086	why was wilson considered a progressive	m	Male
1083712	what does having a lot of heart means	n	Non-Gendered
1072706	what is a good way to remove arm hair	n	Non-Gendered
1034837	what is the origin of the last name chapman?	n	Non-Gendered
1090837	seafarer meaning	n	Non-Gendered
1016048	what type of cat is buttercup from the hunger games	n	Non-Gendered
535853	vassals definition	n	Non-Gendered
1068570	what is a purple people eater	n	Non-Gendered
1082474	centromere definition biology	n	Non-Gendered
1012896	what was dr. martin luther king	m	Male
1027065	who discovered the rainbow theory	n	Non-Gendered
1093932	is the human centipede medically accurate	n	Non-Gendered
62064	can a civilian become a warrant officer	n	Non-Gendered
699646	what is a shalimar	n	Non-Gendered
490739	rumpkin definition	n	Non-Gendered
941972	when did the movie the sandlot take place	n	Non-Gendered
990634	who is george winston	m	Male
327285	how much should a mature pug weigh	n	Non-Gendered
1064245	what is aham	n	Non-Gendered
650400	what does the hcg level need to be in a pregancy test	f	Female
877138	what medical classification are hearing aids	n	Non-Gendered
1012778	what was jimi hendrix real name	m	Male
539512	warrior cats thunderclan	n	Non-Gendered
1005032	which album does shake it off belong to	n	Non-Gendered
986142	who was the desert rat	n	Non-Gendered
1039314	what is the full name of george w. busch	m	Male
414556	is it safe to eat cinnamon when your pregnant?	f	Female
199294	haw long doses french bulldog be in heat	n	Non-Gendered
1068728	why foot cramps at night	n	Non-Gendered
248622	how long do you roast almonds in the oven	n	Non-Gendered
279513	how many chromosomes are there at the end of meiosis	n	Non-Gendered
985486	who wrote close your eyes	n	Non-Gendered
414262	is it ok to wear glasses while healing from cataract surgery	n	Non-Gendered
1043608	who made the song paradise	n	Non-Gendered
1036982	critical condition meaning	n	Non-Gendered
403117	is apu regionally accredited	n	Non-Gendered
987202	who starred in original death wish	n	Male
1030723	what is the uncertainty of the position of the bacterium	n	Non-Gendered
1095840	how much is joe biden worth	m	Male
1038722	who is stephen king	m	Male
1008231	what's the world record of pull ups	n	Non-Gendered
1089528	todd schnitt net worth	m	Male
824525	what is the hebrew word for wisdom	n	Non-Gendered
1008868	which economic problem did many latin american nations face in the years following world war ii?	n	Non-Gendered
986596	who was joseph addabbo	m	Male
79510	can you say happy birthday?	n	Non-Gendered
994874	which emperor was numa pompilius	n	Male
909846	what two seasons do the equinoxes occur	n	Non-Gendered
1012307	what was the harlow monkey experiment	n	Non-Gendered
1091176	quinine effects on the body	n	Non-Gendered
284512	how many goals has wayne rooney scored	m	Male
18196	angella lapukeni	f	Female
408604	is donald trump illuminati	m	Male
998725	where is kailash satyarthi from	m	Male
1064430	what is adze	n	Non-Gendered
1007334	which composer did the wedding march	n	Non-Gendered
356464	how to draw a fierce full body wolf	n	Non-Gendered
337003	how old laura wright	f	Female
1002650	when was the actress joyce dewitt born	f	Female
1030047	who is andy murray's coach	m	Male
438677	leet definition	n	Non-Gendered
267776	how long swaddle	n	Non-Gendered
1032757	who is ezio	m	Non-Gendered
497579	side effects of drontal plus for dogs	n	Non-Gendered
336986	how old is zach herron	m	Male
987782	who recorded the song slow dancing	n	Non-Gendered
593262	what causes vaginal bleeding during sex	f	Female
778191	what is nst medical term	n	Non-Gendered
239182	how long after ovulation pregnant	f	Female
1059013	who wrote the miraculous books	n	Non-Gendered
1057072	who was vice president after nixon resigned	m	Male
978022	where is berkeley	n	Non-Gendered
272813	how long until bees are gone from a hive removed	n	Non-Gendered
1031161	what is the temple of neptune made out of	n	Non-Gendered
1079221	what happens to your body when you lower calcium	n	Non-Gendered
957697	when was first telephone call	n	Non-Gendered
1062066	why did aaron burr hate hamilton	m	Male
1094098	is mark fuhrman married?	m	Male
918696	what was lebensraum?	n	Non-Gendered
28915	at what stage of pregnancy do i take glucose test	f	Female
990362	who is jerome in gotham	m	Male
144780	did pete sampras win a grand slam	m	Male
186615	fibrocystic breast disease causes	f	Female
685437	what is a good rule of thumb?	n	Non-Gendered
1099791	hormonal normality	n	Non-Gendered
985522	who who is justin verlander married to	m	Male
540597	was richard dawson ever married	m	Male
1094246	is a wedding ring worn on left or right	n	Non-Gendered
178544	effects of being pregnant	f	Female
598772	what colors are dragons	n	Non-Gendered
1035139	what is the normal range for hemoglobin in human body	n	Non-Gendered
289257	how many milligrams of calcium is safe to take a day	n	Non-Gendered
1082805	what does the engine casting number mean	n	Non-Gendered
918797	what was martin luther king jr speech called	m	Male
273140	how long was the battle of passchendaele timeline	n	Non-Gendered
1090069	teletubbies feet	n	Non-Gendered
1097988	how long is a president's term in office	n	Non-Gendered
1098402	how long does a leopard gecko live on average	n	Non-Gendered
1046977	what is roald amundsen famous for	m	Male
228998	how early do fetus' feel pain	n	Non-Gendered
1091722	peter macneill actor	m	Male
267316	how long should vacation time cash out when resigning from a job	n	Non-Gendered
1056920	what is definition of stunning	n	Non-Gendered
373702	how to pronounce eamon	n	Male
639491	what does in stature mean	n	Non-Gendered
1084492	what does a dream represent	n	Non-Gendered
1043385	who made ode to joy	n	Non-Gendered
1049305	who replaced richard nixon as president	m	Male
1083784	what does geeky means	n	Non-Gendered
288043	how many manned apollo missions landed on the moon	n	Male
1024177	what natural resources is metal made of	n	Non-Gendered
1088831	was gary cooper .the real name	m	Male
469146	opaline means what as a name	n	Non-Gendered
793573	what is sangrona	n	Non-Gendered
1049296	who replaced cliff burton in metallica	m	Male
990762	who is esther jones	f	Female
999560	where is americus ga	n	Non-Gendered
53940	biology definition of barr body	n	Female
1043287	who made butterfly choreography	n	Non-Gendered
689338	what is a lob cut	n	Non-Gendered
1032961	who is fred jones education	m	Male
115676	david haye how tall	m	Male
1011638	what was william carey famous for	m	Male
646772	what does reclast treat	n	Non-Gendered
934969	when did stephen sauvestre die	m	Male
235642	how how old is bernie sanders	m	Male
688577	what is a leader of mexico	n	Non-Gendered
301578	how mark cuban got rich	m	Male
1083741	what does ground zero mean?	n	Non-Gendered
913683	what type of noun is lawmaker	n	Non-Gendered
1082268	what empire did pizarro conquer	m	Male
1062850	why did michael jackson get divorced	m	Male
551373	what age group is the baby sitters club series	n	Non-Gendered
280754	how many days after your period is your next cycle	f	Female
694333	what is a pericles	n	Male
1095195	how old is ken shamrock	m	Male
937497	when did bill clinton became president	m	Male
367070	how to lose 6kg in 2 weeks	n	Non-Gendered
453716	migraine infusion treatment side effects	n	Non-Gendered
1050990	who sings fever	n	Female
937550	when did bonanza first air on tv	n	Non-Gendered
1098533	how long do fly eggs live	n	Non-Gendered
1055472	who was seal's wife	f	Female
1007166	define planwise	n	Non-Gendered
406446	is citibank a corporation	n	Non-Gendered
419810	is olanzapine a narcotic	n	Non-Gendered
986100	who was the first admiral of the united states navy	n	Non-Gendered
877671	what meds are for vertigo	n	Non-Gendered
989365	who is russell henry?	m	Male
489882	ronnie poker	m	Male
261941	how long into a pregnancy can you tell what sex it is	f	Female
1102303	why do they call it irish twins?	n	Non-Gendered
418193	is milk made of cells	n	Non-Gendered
771930	what is microsoft assist	n	Non-Gendered
7131	What does the name Roman mean	m	Non-Gendered
1090630	bob corker yearly salary	m	Male
143532	did casablanca win an academy award	n	Non-Gendered
1088460	weather in israel in december	n	Non-Gendered
1056170	what is e.i.n	n	Non-Gendered
986507	who was lloyd alexander married to	m	Female
295902	how many slams has murray won	m	Male
822087	what is the fra	n	Non-Gendered
932363	what's the meaning of snag	n	Non-Gendered
439840	life is strange game price	n	Non-Gendered
1036893	who is patrick duffy married to	m	Male
271738	how long to pressure cook chicken	n	Non-Gendered
203926	hms hero	n	Non-Gendered
942943	when did viking age began	n	Non-Gendered
1031773	what is the strongest material in the world	n	Non-Gendered
143627	did clyde drexler get divorced?	m	Male
1095224	how old is harris j	m	Female
665249	what happened to president nixon	m	Male
1061366	why are voluntary muscles also known as skeletal muscles?	n	Non-Gendered
1020053	what stages of piaget is toy sharing	n	Non-Gendered
425765	is the baby giraffe died	n	Non-Gendered
617062	what day was martin luther king assassinated	m	Male
537944	vitamins take when pregnant	f	Female
988113	who played carol brady	f	Female
1036538	what is the meaning of finessed	n	Non-Gendered
178528	effects of anemia during pregnancy	f	Female
620623	what did zacharias janssen discover and what year	m	Male
1049680	who sang all these years	n	Non-Gendered
1091933	otezla side effects heart	n	Non-Gendered
1064286	what is age of majority in bc	n	Non-Gendered
39207	average monthly temps	n	Non-Gendered
1083562	what does it mean when something is dense	n	Non-Gendered
1028229	who has played lex luthor?	m	Male
952753	when is the election for us senator alabama	n	Non-Gendered
995528	where is the feedback loops used	n	Non-Gendered
1090740	shingles symptoms wikipedia	n	Non-Gendered
334909	how old is elliott john	m	Male
1032478	who is edward	m	Male
1034177	who is jeff in real life :o	m	Male
1102331	why do people flirt	n	Non-Gendered
668748	what helps thicken uterine lining	f	Female
1004053	when is john quinones birthday	m	Male
174216	does writing dialogue come in it's own paragraph?	n	Non-Gendered
1051176	who sings i never knew love like this before	n	Female
196366	grace vanderwaal instagram	n	Female
894050	what should the oxygen level in your blood be?	n	Non-Gendered
1095142	how old is tippi hedren right now	f	Female
1060717	communique meaning	n	Non-Gendered
510838	taxi tv series cast	n	Non-Gendered
426876	is the name elvia english	f	Female
866723	what kind of cancer did john coltrane have	m	Male
682938	what is a favorite hobby of people in chile?	n	Non-Gendered
1095365	how much water should a dog drink in a day.	n	Non-Gendered
594622	what channel is love it or list it on	n	Non-Gendered
52620	biblical hebrew word meanings	n	Non-Gendered
649793	what does the civil rights act of 1875 outlaw	n	Non-Gendered
278768	how many carbs per meal for diabetic plan	n	Non-Gendered
1084995	what did mohandas k. gandhi protest for	m	Male
449124	meaning of sacrifice	n	Non-Gendered
851380	what is the tiniest bug	n	Non-Gendered
752042	what is good to eat when you need more vitamin d	n	Non-Gendered
871661	what lab findings diagnose kidney stones	n	Non-Gendered
1089379	turner syndrome heart defects	n	Female
211952	how common is bleeding during pregnancy	f	Female
199124	has the wendy williams show been cancelled	f	Female
879519	what movies has the quote love means you never have to say your sorry	n	Female
1048457	what is period length means	n	Female
1095206	how old is judith guest?	f	Female
1033078	who is general robert b abrams?	m	Male
1021222	what scientific contributions did neil degrasse tyson do?	m	Male
299968	how many weeks to get back to birth weight	f	Female
1083949	what does dislike mean	n	Non-Gendered
1012251	what was the importance of samuel slater in american industry	m	Male
1095289	how old do kids need to be to ride metro	n	Non-Gendered
996128	where was the uss nautilus stationed?	n	Non-Gendered
1054963	who was moses judah?	m	Male
996073	where's ecuador	n	Non-Gendered
304057	how much daily vitamin d	n	Non-Gendered
280709	how many days after ovulation can i tell i'm pregnant	f	Female
1053674	who was connie sawyer	n	Female
1036457	what is the meaning of sagacity	n	Non-Gendered
994380	which is a disease of the lungs?	n	Non-Gendered
469060	onion meaning in dreams	n	Non-Gendered
499238	slang word thot meaning	n	Female
985819	definition of pharisee	n	Non-Gendered
131165	definition headache	n	Non-Gendered
550200	what age can babies first see	n	Non-Gendered
741175	what is dpca	n	Non-Gendered
988798	who is the holy spirit john piper	m	Male
1089702	the three parts of the information-processing model of memory are	n	Non-Gendered
1027518	who e=mc	n	Non-Gendered
1098935	how is a baby baboons life	n	Non-Gendered
525233	tsun meaning	n	Non-Gendered
993247	which ruler founded the mughal empire? akbar babur suleiman mehmet	m	Male
338660	how selected for jury duty	n	Non-Gendered
989307	where is nora located	n	Female
1081588	youngest billionaire list	n	Non-Gendered
1086866	what are the responsibilities of a seller	n	Non-Gendered
1097967	how long is dog pregnancy term	f	Non-Gendered
937541	when did bob dylan wrote you gotta serve somebody	m	Male
985625	who were the fascists	n	Non-Gendered
1033088	what is the republic of salo	n	Non-Gendered
962783	when was trippie redd born	m	Male
1030710	who is bob eubanks	m	Male
1084352	cause of balance problems in cat	n	Non-Gendered
1010154	what year was the butterfly effect released?	n	Non-Gendered
189455	foods that help boost fertility	n	Female
1083705	what does heart of a warrior mean	n	Non-Gendered
1012754	what was john tyler	m	Male
335024	how old is georgia engel	f	Female
1036452	what is the meaning of second	n	Non-Gendered
399939	is a flower an organism	n	Non-Gendered
886963	what pier does harmony of the seas leave from	n	Non-Gendered
1082709	what does the name nicholas mean in italian	m	Male
1101084	dr dieter martin license number	m	Male
1095646	how much money is billy graham worth	m	Male
994480	which hand to wear engagement ring on after proposing	n	Non-Gendered
415521	is ketamine a horse tranquilizer	n	Non-Gendered
52835	biggest bat recorded	n	Non-Gendered
1084685	what do teeth represent	n	Non-Gendered
958858	when was michael jackson fire pepsi ad	m	Male
989955	who is lupita nyong	f	Female
89443	celeberties with the birthday september 17	n	Non-Gendered
257587	how long does it take to heal ribs	n	Non-Gendered
991045	who is chris fisher	m	Male
949891	when is college softball world series	n	Non-Gendered
1094702	ice skating rink temperature	n	Non-Gendered
663595	what genre is rob thomas	m	Male
214321	how did paul walker die.	m	Male
831607	what is the meaning of the name Helena?	f	Female
1055035	who was obama running against	m	Male
1085835	candy meaning	n	Non-Gendered
1002924	when was jesse williams born	m	Male
894294	what show is william h macy on	m	Male
985945	who was the judge for larry nassar	m	Female
1003131	when was benedict cumberbatch?	m	Male
957406	when was dna discovered	n	Non-Gendered
1084970	what did the hollywood sign used to say	n	Non-Gendered
56102	breadcrumbs definition	n	Non-Gendered
